,0,1,2,3
26,释凡,5,被誉为影史最棒，不管排名却肯定经典。缜密逃狱者，现代版《基督山恩仇记》，弗兰克·德拉邦叙事有板有眼，斯蒂芬·金大师经典小说很会靠精妙铺垫，转移注意力，一幅美女画背后是地道。蒂姆·罗宾斯冤狱者饱受欺凌，监狱内黑暗与腐朽，摩根出狱后难融社会遭遇，对自由曙光的伟大向往，很棒人性反思力作,2015-08-15
27,小海,5,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！,2010-01-28
28,乐安蓝,5,明修栈道，暗渡陈仓,2008-03-02
29,南笙,5,对不起，我戒酒了。,2012-01-06
30,徐小花,5,酣畅淋漓,2006-08-16
31,蓉儿,5,这是一部关于希望的经典之作。监狱关不住希望。主人公安迪遭人误解，身陷囹圄，靠着内心无比的坚定，在无尽的等待中，利用智慧和希望，用一把小铁锤救赎了生命，同时救赎了监狱，并将希望的种子播种到每个人的心里。所以说，安迪是英雄，是强者。安迪与瑞德的缘份和友情也很打动人心。值得一看再看。,2016-11-05
32,雨果,5,好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。,2016-12-23
33,低端屌丝毛驴哥,5,不多说了,2005-12-26
34,Doublebitch,4,绝对是期待过高导致有点失望,2007-12-24
35,yocofcjx28,5,太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！,2016-11-12
36,Solfarq,2,虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。,2011-04-10
37,壳子里的局外人,5,发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望,2017-01-03
38,美好生活,5,肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存,2016-11-14
39,赫恩曼尼,5,若你试自由如生命，你愿意用20年等来一日的逃脱。,2012-06-29
40,不良生,4,天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。,2016-05-18
41,蝶雨成宣,4,看完后真的哭了，男主一直想从监狱出出去，对自由的那种渴望太让人震撼了,2016-10-31
42,孔雀鱼,5,这部片子播后，入狱的场景衍生一系列的同人文，教皇般的典狱长，东西两派，同性狎轧成了美国监狱片少不了的场景。当然被人津津乐道的一个场面是，男主角逃脱出狱后迎着风雨呐喊自由的场景。,2016-11-30
43,乐山小佛,4,我最看不惯什么“没有什么高于生死”这种论调，高于生死的东西多了，信仰，尊严，艺术这些哪个不高于生死？可惜核心价值观是“好死不如赖活着”的人种，是不明白这个道理的。,2016-05-14
44,__轻笑,5,坚持就是胜利啊 最终在墙上弄了个洞,2016-09-07
45,何小沁,5,高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。,2009-09-11
46,豆瓣酱,4,经典是可以反复品味的，安迪对生活和自由充满向往，出狱对他来说是新生;而早已习惯了监狱生活的瑞德，已变得麻木，出狱对他来说就是死亡。,2017-01-08
47,tlmgt,2,有点好奇这部片为何被过度赞誉到这个地步···,2014-02-01
48,欢乐分裂,5,#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。,2016-05-14
49,考拉小巫,5,最最最最最好看的电影。没有之一。,2012-07-09
50,小岩井,5,任何时候，都不要放弃希望。,2015-12-13
51,顾小猫,4,通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。,2017-05-03
52,似水年华,5,这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。,2018-01-12
53,蓝婷飞絮,5,看完之后，只觉得烧脑。看第二次，我只觉得男主人太厉害了。,2016-12-30
54,梦梦小可爱,5,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。,2018-01-13
55,快乐人生,4,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分,2018-01-04
56,随风飘洋,5,一开始还疑惑这部片为什么叫肖申克的救赎，原来这是一部自我救赎的故事，要么忙着生，要么忙着死，心存希望就会有奇迹,2017-05-25
57,一只牡鹿,5,经典中的经典，记得是豆瓣影评中的最高分,2016-09-02
58,慕詩,5,自我救赎才是唯一的出口。感叹于知识改变命运啊。,2016-12-27
59,叫她孙女凯拉走,5,要么忙着活，要么忙着死。,2017-03-22
60,静,5,任何时候都要坚持，坚持就会成功的，但现实能一直坚持的人是少的。值得一看,2018-01-13
61,A天涯任我行,4,可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味,2018-01-11
62,花落  思量错,5,“人活着得有希望”，一点都没有错，当老布自杀的时候我在想他应该回到监狱里度过剩余的日子，可是当安迪终于出去的时候又是那么美好，人啊真的得有希望才能快乐勇敢的活下去。当我失意的时候就想起这个片子，想起他那么努力想尽办法的脱身，觉得我一定也可以冲出重围重新站起来，真的太励志了。,2017-02-07
63,妈咪宝贝,5,一个内心坚强有信念的人,2016-11-05
64,清爽,4,不管怎么说，真的很佩服男主的毅力，在那样的情况下一直没有迷失自己，追求自己向往的自由。,2017-03-22
65,柠檬or番茄,5,应该再看一遍,2016-08-07
66,dalele,5,几年前看的，看完之后挺久了才回神，第一次因为看了一部电影反思自己。是我心中电影的第一名～,2018-01-24
67,苏多多,5,这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴,2018-01-20
68,火锅点点,3,"该影视简介由豆瓣网专职人员撰写或者由影片官方提供，版权属于豆瓣网，未经许可不得转载或使用整体或任何部分的内容。

20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望",2017-01-06
69,Lycidas,5,天知道第几次重看。它最伟大可贵的地方大概一方面是多层次嵌套的丰富主题，另一方面则是一种内在的timeless品质和情感表述，因此无论观众身处哪个时代，来自何种背景，抱持怎样的心理状态，都能够有效甚至不由自主地relate其中的某个角色或某段情节。,2016-05-14
70,心悦君兮君已知,5,第一次看的时候不懂，看了一半就关了。后来看了全片，当之无愧的经典。世界从来不是公平的，但是永远要有一颗坚定不屈的心。,2018-01-06
71,我要快乐,4,"常年霸占豆瓣电影第一名,在盛名之下看的，可能是心理预期太高，看过了之后反而又一点点失望。但它仍然是个好电影，越狱系列的no.1。在绝境之下不放弃自己，隐忍而睿智，知识永远是第一生产力。",2018-01-29
72,cattylee33,5,何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。,2017-10-25
73,大志的小耳朵,5,精彩，永远别放弃，即使要很久以后才会成功。每天努力一点点，坚持不懈，总会有收获。,2016-12-28
74,sharon,5,绝望里长出的希望能带来无限的勇气,2017-03-18
75,末摘花,5,每个人都是自己的上帝，如果你自己都放弃了自己，还有谁会来救你！,2016-10-19
76,婷婷,5,坚韧不拔，逆境中仍闪耀着人性的光辉,2016-08-27
77,小土豆儿,5,“记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。”,2017-05-15
78,菠萝蜜,5,经典老片，一看再看。过几天再把书看一遍！,2017-01-01
79,杨迪,5,最后那一瞬间啊,2009-12-19
80,熊仔俠,-,原來那個鏡頭是來自這部電影的。總算把imdb最高分的電影看了。但是我的評分就不方便給了。,2010-08-29
81,梦里诗书,5,很难有一部电影能比《肖申克的救赎》能更好的诠释梦想与救赎这两个词的关联和真谛，电影予人带来心理的震撼与洗涤从未如此的深刻，主角安迪与男二黑人瑞德主辅相成的两条脉络营造了一个关乎追梦自由和心灵救赎最好的诠释，生活其实本就一直有着梦想，哪怕失败，只要能心拥梦想，便定能获得希望的救赎。,2015-08-02
82,梅山君,5,艾迪是一只羽毛太漂亮的鸟，用了那么多年为妻子的死赎罪，其实根本不是他的错。一个向往自由的人，飞吧。,2017-01-17
83,艾晨,5,2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。,2017-08-09
84,铃儿响叮当,3,好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！,2017-01-05
85,雨滋味,4,救赎什么？灵魂？自由？信念？你看看这部电影就有体会了,2018-01-31
86,自矜者,5,习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。,2017-12-26
87,美神经,5,上个学期全班同学一起看的心理电影，下课了依旧不舍的坐在位置上，盯着那屏幕，看到最后，嗯，他活着出来了。信念，满满的充斥着内心，如果是我，可能早就死在那四面铜墙里了，哪还有后来呢。人生，可能就是这样，总是希望伴着绝望，那要看你是想救赎自己还是了结罢了,2017-05-03
88,努力去热爱世界,5,无论在什么地方都要有对生活的热情 男主放音乐的时候真的很震撼 在无尽的黑暗里寻求友情和快乐 男主的对生活的态度影响了整个监狱的人 还有第一次发现学经济那么有用,2017-02-21
89,百骨金titi,4,真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼,2018-01-12
90,掉线,5,"“hope is a good thing,maybe the best of things,and no good thing ever dies”对这片，没什么好说的吧",2012-04-21
91,烟波人长安,4,为了不被人喷打个四星，其实也就是三星半水平，远逊小说原著。小说平铺直叙一个调子讲到尾，比电影咋咋呼呼造成的效果好多了。,2014-06-17
92,Christian Dior,5,我们都是病人 渴望活着 好好的活着 却惧怕生活,2017-03-26
93,清静如莲,4,以肖申克的故事，反应了美国的监狱问题，如腐败，对犯人的不人性。任何一个很棒的文学作品，它会反应当时的社会问题和大背景。当然还有肖申克的智慧和坚韧，最后正义战胜邪恶。美好的结局,2018-01-16
94,Kylin,4,Hope is a good thing and maybe the best of things. And no good thing ever dies,2017-01-06
95,娜莉梦游仙境,4,对自由的渴望可能不会表现出来，但是逃不过自己内心深处的渴望！哎，最后才发现是被冤枉的，看的我都纠结死了！,2017-01-17
96,柳上安,5,善非所善恶非所恶 这个叫肖申克的囚牢里囚禁同化扭曲 安迪说自己运气不好 阴差阳错成为替罪羊 在这所监狱经历绝望 哪怕他有错 也已赎完罪 但是后来的洗黑钱逃税钻法制的漏洞呢 他与瑞德在图书馆的那场对话 他说他会是清清白白 很压抑 本片高潮处 汤姆被枪杀安迪越狱 有的是时间缺的是希望,2017-03-23
97,爱的镇魂歌,5,隐忍布局与一触即发的翻盘，从讨酒、写信和广播几个事件中便能对男主内敛的思绪窥见一斑，全片除精彩外更多是积压一种对自由的渴望，冲破狭隘牢笼得到海阔天空，结局不甚美好。而片中上吊的老爷子，则是早已磨灭希望的消极典型，意在与男主形成对比。,2017-01-24
98,ZWW,5,Hope is a good thing,2017-08-09
99,沐梵,5,"对推上神坛的电影总是莫名恐惧，以致雪藏了五六年。看完发现之所以雄踞各类榜首，是因其他至多称作经典，而它却可称作伟大。Fear Can Hold You Prisoner, Hope Can Set You Free 。Hope is a good thing.",2013-11-08
100,砂糖橘,4,不一样的人性,2017-03-23
101,七沐妹妹,5,怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。,2018-01-24
102,程晴之,5,很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！,2018-01-16
103,土建劝退师四狗,2,史上最有名的烂俗励志片，没有之一,2009-04-25
104,bornfreeyolo,5,看过太多遍了，对人性的许多方面都有独到的阐述和理解，每看一次都有不同体会,2016-09-16
105,蒜 | BOY A✎,5,"2002.3.3 DVD 
2007.7.27 DVD home
2008.8.2  CCTV6",2008-01-19
106,下雪要打伞,5,哪怕看到了这样的完美结局，依然有隐隐的不安，算不算得上缺乏安全感。。。,2017-03-16
107,一个人的修行,3,很有感觉的一部片子。。人性,2017-12-08
108,高冷的毛爷爷,4,经典老电影就是不一样，重温了无数遍呢,2018-01-20
109,炫3D,5,总觉得美国大片更容易直面人性，直面真实的社会。,2017-03-17
110,还不过来扶着朕,5,看了很多遍每次都有不同的体会，好作品就是有这样的魅力,2016-09-18
111,Paco,3,几年后，五星改成三星。,2015-06-30
112,萌萌哒,5,不只是肖申克的救赎，也是我们内心对自己的救赎,2017-04-30
113,云中,5,看了一遍原著小说，觉得这个电影还是很好看,2009-10-10
114,昵称被占不开心,5,hope can set you free～,2017-02-10
115,溪棠-迷糊狐,4,从下水道逃生，看到这里我已经被震撼了。人的求生意志和对自由的向往有多强，这部电影给你答案,2017-05-03
116,Vamei,5,野心。在那样一种被打倒的人的身上，你能看到的最棒的东西，就是野心，想要好好活，让羽毛闪光的野心。,2012-08-26
117,梦梦梦梦,5,看哭，经典中的经典,2017-04-08
118,Giroro,5,赏析课看的电影，很经典，很有深度，这样的电影才称得上佳作,2017-10-20
119,流氓兔,5,很棒的一部电影，一部完全不需要女主女配的电影。有时候想想，我们国产片为什么走不出国门，我觉得广电也有一定责任，这不许拍那不许拍，就比如这类型的电影，很喜欢这类型的越狱题材，还有美剧的越狱，我看的第一部美剧，真的好好看。我们国家的电影或电视剧，基本没有关于这种类型的题材。万恶的广电,2017-02-28
120,小森林,5,看完特别震撼,2017-03-18
121,★☆☆☆☆,4,也许是类似的故事看得太多了，以致我无法给出五星,2009-12-09
122,你爹语重心长,5,不容错过的经典电影。,2017-03-23
123,与你走天涯,5,"很多人，可能都有被自己设置的牢笼所禁锢着的时候！没有光明，没有明天，没有希望！可能你会因此沉沦，但也可能会突破它，战胜它，最终赢得自我的升华！这部电影告诉我们的似乎就是如此！

    每一次的观赏，每一次的感动，都能带给我满满的希望！",2018-02-11
124,橙c,5,虽然看到了旧社会的黑暗，但是又有一种心潮澎湃，又有些人性的温暖。,2017-10-20
125,徐若风,5,生！酣畅淋漓，铭刻于心。【但不至于上到前30的榜单，更不至于上第一名吧~】,2012-07-19
126,婷婷爱八卦,5,几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！,2017-12-20
127,荔枝白羊悅,5,最厉害的骗术是时间。,2017-06-10
128,公子扶苏.,5,这部电影好到，含义深刻到我不敢妄自评价……总之，力荐!,2018-01-13
129,我不是Luisa,5,我希望有一天起，我能逃脱出自己的牢笼，回到向往的大海，慢慢修理着自己的自由之船。,2017-05-14
130,席天幕地,5,不得不说很能触碰到人心，细腻的打动你,2017-02-04
131,Adiosardour,5,我不断的想要重复一个危机的过程，然后得到一个好的结局。我总是希望有什么事情发生，我总是希望自己被拯救，我总是希望那种排除万难的悲情和成就感。我不知道自己为什么迷恋于挫败的感觉，迷恋于痛苦的感觉，迷恋于万劫不复的结局。,2010-10-13
132,秋天的苹果,5,非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。,2018-01-20
133,回不去的夏天,5,恐惧让你沦为囚犯  希望让你重获自由,2017-02-12
134,阿噗不高兴,5,只记得最后两个人重逢，我流下了感动的眼泪😂,2017-03-01
135,birds,5,如今这肖申克囚禁着整代人。,2012-11-12
136,你看起来很美味,5,他说，不要放弃希望。,2012-02-26
137,纤纤,4,你猜不到的结局…猜不到的惊异…,2017-04-25
138,办公室甜心,5,"""Hope is a good thing, maybe the best of things, and no good thing ever dies."" 太让人振奋了，大约7年前和哥哥一起看过一遍，但是毫无印象，这一次体会得酣畅淋漓，铭刻于心。有的鸟儿羽翼是如此光辉，他们注定不会被囚困。",2011-12-09
139,昏昏欲睡,4,监狱是一个设会的缩影，蒙冤的安迪没有放弃，赢得了尊重，地位，友谊。最后的自由,2016-12-27
140,佐仓杏子,5,非常触动人心的经典,2016-09-11
141,小A,3,剧本有问题。,2010-01-10
142,苏幼,3,每个人都渴望有自由,2017-04-06
143,北港_,4,还是经典的老电影振奋人心，主人公逃出监狱在河流中张开双臂的画面记忆犹新。,2018-01-17
144,sunny,5,真的是非常棒的电影。主人公用智慧为自己赢得了自由。他善良，聪明，有毅力。正是这些让他逃过了命运的不公。,2017-01-06
145,脑仁哥,5,也许，这个电影能拍第一名是因为在不同的年龄段看就会有不同的感受。说实话，我现在只看懂了剧情，希望在30年后我再看会明白人生的意义。,2017-02-04
146,斑马的故事,5,真的，我的每一任英语老师都让我们看过😔,2017-04-07
147,Syg❤️ZS,4,在我心里显然不是第一,2010-11-10
148,吾良,5,"我看完它沒有身邊所有人說的那樣激烈的情緒出現，感動也好，激奮也好，又或者是觸動了什麼哭出來，我都沒有。
我只是覺得，他做的一切真的是再正常再平常不過的事情。身處其中，我不會有別的選擇要去做，除了選擇自由和信仰我沒有別的答案。
走，這是我唯一該做的。",2013-09-18
149,二月飞雪,5,在监狱里，当生命的过程只能以时间为刻度的时候，任何高涨的热情都只能无可奈何地向失望举起双手，宿命地接受命运的安排。,2016-04-26
150,花未央2016,5,希望是什么？即便在绝望中不放弃的信念。在是非善恶之虫，人终究是渺小的，而希望，让人变得伟大。,2017-05-17
151,托尼·王大拿,5,所谓造梦，大概就是这样，给人以希望与光明，令人感受到那一种震撼。,2010-02-07
152,danver,5,我有二十年时间都不想看这片，因为人所称赞的美德一般都挺让我犯恶心的。本来只想清理一下硬盘，看了二十分钟开始觉得不妙，这片子完成度太高太精致了。从演员到布景到化妆，构成和节奏和运镜。所以虽然搞出一个我想糊导演一脸的童话结局，我还是没法给它减星。,2014-06-15
153,马文才,4,骗傻子的励志片,2010-11-27
154,素年锦时,4,每个人都有一部不得不看的电影。,2017-04-04
155,有有,4,《肖申克的救赎》，这部影片是无数人爱上电影的起由。每一个镜头，每一句对白，每一条韵律，在我看来都是那么完美无缺。,2017-05-10
156,Lan~die,5,"“有些鸟儿是永远关不住的，因为它们的每一片羽翼上都沾满了自由的光辉！”  
“那些高墙挺有意思，开始时候你痛恨它们，后来你就适应了。时间久了,你变得离不开它们依赖它们了。这就是体制化。” 
“希望是件美好的事，它也许是世间最美好的东西，而美好的事物永不消逝。”",2006-10-06
157,潘半仙,5,高中时收藏的DVD之一，相当深刻的影片，老摩的表演也十分精彩。,2011-06-03
158,风信子,5,人是感性的，面对残酷的环境，人本能的反应便是奋力抗争，而当这个环境恶劣到一定的程度时，人的抗争之心就会慢慢被消磨殆尽，成为行尸走肉。但是只要还有希望都要抗争到底不是吗？,2017-05-03
159,someoneLikeYou,-,"never thought out Shawshank can run out of the jail. At the end of the movie, the escape make me scared about the patience, the plan, the power realization of the dream. Nice for Shawshank, and it's nice for everyone",2012-06-18
160,Underdyingsun,2,完美诠释大众审美都是屎的经典影片。,2011-05-17
161,朱迷糊🌸,5,很经典的一部电影，看过挺多遍，每次看都能感受到不一样的东西，值得一看,2017-02-19
162,小葱,5,非常好看，经典。有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！,2017-02-26
163,猫猫eko,5,美国监狱里打人真狠，打死都不管。很早以前说过，监狱只不过是个改变命运和人生的地方。监狱里不也一样有和蔼的老人，喂养着翅膀受伤的小鸟。有些鸟是不能被关在笼子里的，它们的羽毛太鲜艳了。你会觉得把它们关起来欣赏是种罪恶。它们不在了定会让你感到寂寞。希望是最好的事情。汲汲于生，或者汲汲于死。什么是自由，什么是信念。,2007-02-13
164,🐑的火锅,5,"看过两遍了。
一条漫长的自由之路、一次灵魂深处的洗涤、一部不朽的励志经典，“希望”遵循神的旨意安睡在内页被挖空的《圣经》里，附着在安迪高大的身躯里，匍匐在500码的下水道里，最后，那条仅有的肮脏之路把安迪送往美丽的新世界。",2017-03-30
165,间介,5,电影的最后，当两个在囹圄之中呆了几十年的人拥抱到了一起，当他们还需要去思考“自由”的时候，这个时间点不知道我们是该为他们庆幸还是悲哀……很棒，每当迷茫的时候，翻出这个电影看一看，有好处，经典,2016-11-08
166,一路有你,4,经典，不管如何都不要放弃希望，即使可能会给你带来危险。,2017-05-07
167,絔影,4,男主人公就这样不动声色地成功越狱了，不得不佩服他的智慧，勇气和果敢。,2017-05-03
168,tricky_V,5,如果有十星，那就是它！从一开始老布的绝望，“他还不如老死在监狱”，到安迪知道自己被陷害在臭水通道里爬行了500米获得自由，到已经过了40年体制化了的瑞德的假释，他的迷茫恐惧到位了遵从朋友的委托，最后终于又见到安迪。这一切的一切都在告诉我们，要么忙着生存，要么忙着死去。希望真是好东西啊,2012-06-28
169,应有葵花,4,太经典的电影，多年之前的记忆，执着、希冀和不懈的追逐，心灵的救赎和灵魂的洗礼。,2016-11-18
170,你不喜欢文渊吗,4,有了目标才有动力啊,2017-06-17
171,diurenzhu,5,人性伟大，会软弱，但更多的是坚韧,2017-06-08
172,大侠很忙,5,最先还是为了练习英语看的，除了感动没啥大感触，这部剧值得一刷再刷，最近又给我了新的力量，再次带希望上路。,2017-02-04
173,川总,5,前半段出现的监狱片惯有的爆菊桥段不够劲爆让我略失望，但是到后面，我竟然看湿了眼眶。,2012-01-17
174,crossrainbow,5,这部剧真的是经典中的经典，无论从故事构架剧情还有演员演绎上都是完美作品，发人深思,2017-03-24
175,烬灭之炎,5,"Red narrating: I have to remind myself that some birds don’t mean to be caged . Their feathers are just too bright. And when they fly away, the part of you that knows it was a sin to lock them up. DOES rejoice. Still, the place you live in is that much more drab and empty that t",2010-07-24
176,峰峰峰峰,3,有一种鸟儿是永远也关不住的，因为它的每片羽翼上都沾满了自由的光辉。,2012-06-20
177,汤圆,5,本人最爱的电影，注意，是最，没有之一。至少看过5遍，看着画面我几乎能背台词。每当失望、绝望、想放弃、觉得自己很苦逼很悲催的时候，我总会想到这部电影，也总会想到安迪，于是又重新振作起来。感谢这部电影，不知多少次伴我坦然面对一切的不顺。,2011-11-18
178,HsvEvnX,5,不知道我在生日这天看到这电影有没有什么预兆或暗示。很励志。人物塑造很丰满。那老头让人感慨。想想五十年与世隔绝，你面对的世界会不会让你感到恐惧？到底有多少人可以像安迪一样是关不住的鸟？这样想来穿越是多可怕的一件事啊！影片最最后，不好意思，生硬的看出了基情。－ －,2011-09-01
179,汪金卫,4,不行了，我必须把五星改成四星！没有史蒂芬金的原著，这电影TMD啥也不是！,2009-11-10
180,冉笛,5,实际上，只是证明安迪曾经在场、曾经有杀妻意图，并不必然地证明安迪有罪。但是司法团只相信他们愿意相信的逻辑，而忽视他们不愿意相信的逻辑。在人类的历史活动中，通达真相的疑点常常如此被搁置，真相本身也由此被搁置，而对执法者来说，结果是否真的符合正义不重要，重要的是貌似正义,2009-08-04
181,卡卡鱼毛球一世,5,久仰盛名的片子太多。但并不是每部都能让人哭着笑起来。环环相扣的计划太妙了。有计划有动机也有导火索，最赞的是有个happy ending。Red是redemption的缩写，象征着身和心共同的救赎解放。Salvation lay within. 喔。Get busy living or get busy dying. 海洋木屋棋盘和一个伴儿，岂不惬意。,2012-06-10
182,Heal the world,5,很早就想看了，一直拖到现在，就一部剧情电影而言它达到了我观影的巅峰。作为一个中国人，希望早日能看到当代国产电影优秀力作。大神们不要再追求浮夸了，这是艺术，你只看钱，出的国产伪大片只会引来广大网民的狂欢，不嫌丢人那。晚安,2012-06-19
